var,estimate,ci,pd,ps,bf,ess,rhat
b_muscletotalstd_Intercept,1.14,"[0.94, 1.35]",1,1,4150.25,3786.7,1
b_fattotalstd_Intercept,-0.94,"[-1.08, -0.78]",1,1,1953.32,5999,1
b_cd41positivecd62negativestd_Intercept,0.03,"[-0.09, 0.15]",0.712,0.135,0.02,6181.3,1
b_cd41positivecd62positivestd_Intercept,0.01,"[-0.14, 0.15]",0.529,0.104,0.02,6967.8,1.001
b_muscletotalstd_time.L,-0.06,"[-0.89, 0.66]",0.581,0.458,0.11,822.6,1
b_muscletotalstd_time.Q,-0.07,"[-0.56, 0.38]",0.639,0.453,0.07,935.2,1
b_muscletotalstd_sexF,-1.63,"[-1.83, -1.42]",1,1,4399.19,4357.5,1
b_muscletotalstd_age_std,-0.11,"[-0.2, -0.01]",0.988,0.569,0.19,3975.2,1
b_muscletotalstd_imc_std,0.35,"[0.25, 0.44]",1,1,1888.38,3683,1.001
b_muscletotalstd_time.L:sexF,0.1,"[-0.12, 0.29]",0.818,0.483,0.05,8914.1,1
b_muscletotalstd_time.Q:sexF,0.08,"[-0.12, 0.28]",0.779,0.412,0.05,8069,1
b_muscletotalstd_time.L:age_std,0.03,"[-0.08, 0.13]",0.709,0.084,0.02,9139.7,1
b_muscletotalstd_time.Q:age_std,0.06,"[-0.03, 0.15]",0.917,0.216,0.04,8835.6,1
b_muscletotalstd_time.L:imc_std,0.02,"[-0.08, 0.11]",0.683,0.054,0.02,8770.2,1
b_muscletotalstd_time.Q:imc_std,-0.07,"[-0.16, 0.03]",0.908,0.226,0.04,8667.3,1
b_fattotalstd_time.L,0.03,"[-0.68, 0.68]",0.546,0.402,0.09,811.8,1
b_fattotalstd_time.Q,-0.22,"[-0.65, 0.2]",0.885,0.762,0.16,961,1
b_fattotalstd_sexF,1.32,"[1.18, 1.46]",1,1,2924.39,7389.8,1
b_fattotalstd_age_std,0.01,"[-0.05, 0.08]",0.645,0.004,0.01,7216.2,1
b_fattotalstd_imc_std,0.57,"[0.5, 0.64]",1,1,1431.09,6516.3,1
b_fattotalstd_time.L:sexF,-0.07,"[-0.27, 0.12]",0.769,0.39,0.04,9093.5,1
b_fattotalstd_time.Q:sexF,0.13,"[-0.05, 0.31]",0.925,0.641,0.09,8723.5,1
b_fattotalstd_time.L:age_std,0.07,"[-0.03, 0.16]",0.923,0.263,0.05,8324.8,1
b_fattotalstd_time.Q:age_std,-0.01,"[-0.09, 0.07]",0.581,0.015,0.01,9320.9,1
b_fattotalstd_time.L:imc_std,0.06,"[-0.03, 0.15]",0.895,0.177,0.03,9083.7,1
b_fattotalstd_time.Q:imc_std,0.03,"[-0.06, 0.12]",0.721,0.049,0.02,8728.4,1
b_cd41positivecd62negativestd_time.L,-0.91,"[-1.09, -0.71]",1,1,3246.16,8178.2,1
b_cd41positivecd62negativestd_time.Q,-0.47,"[-0.66, -0.27]",1,1,3939.85,6261.9,1
b_cd41positivecd62positivestd_time.L,-0.23,"[-0.45, 0.01]",0.973,0.861,0.23,9184.8,1
b_cd41positivecd62positivestd_time.Q,-0.18,"[-0.41, 0.06]",0.927,0.73,0.11,6607.3,1
bsp_muscletotalstd_micd41_positive_cd62_negative_std,-0.04,"[-0.82, 0.69]",0.557,0.432,0.1,764.5,1
bsp_muscletotalstd_micd41_positive_cd62_positive_std,-0.02,"[-0.79, 0.59]",0.53,0.387,0.09,710.7,1
bsp_muscletotalstd_micd41_positive_cd62_negative_std:time.L,-0.01,"[-0.21, 0.18]",0.555,0.195,0.03,4736.2,1
bsp_muscletotalstd_micd41_positive_cd62_negative_std:time.Q,-0.17,"[-0.43, 0.1]",0.875,0.69,0.1,2209.6,1
bsp_muscletotalstd_micd41_positive_cd62_positive_std:time.L,-0.05,"[-0.21, 0.11]",0.75,0.28,0.03,4819.9,1
bsp_muscletotalstd_micd41_positive_cd62_positive_std:time.Q,-0.12,"[-0.3, 0.08]",0.878,0.587,0.07,2498.2,1.001
bsp_fattotalstd_micd41_positive_cd62_negative_std,-0.04,"[-0.71, 0.66]",0.565,0.408,0.09,779.3,1
bsp_fattotalstd_micd41_positive_cd62_positive_std,0.07,"[-0.47, 0.7]",0.634,0.453,0.08,919.4,1.001
bsp_fattotalstd_micd41_positive_cd62_negative_std:time.L,-0.12,"[-0.31, 0.07]",0.888,0.566,0.07,4832.9,1
bsp_fattotalstd_micd41_positive_cd62_negative_std:time.Q,0.17,"[-0.04, 0.36]",0.943,0.745,0.12,3769.9,1
bsp_fattotalstd_micd41_positive_cd62_positive_std:time.L,-0.04,"[-0.18, 0.1]",0.715,0.209,0.03,5432.4,1
bsp_fattotalstd_micd41_positive_cd62_positive_std:time.Q,0.14,"[-0.01, 0.29]",0.966,0.703,0.13,4164.1,1
rescor__muscletotalstd__fattotalstd,-0.49,"[-0.84, 0.16]",0.921,0.879,0.37,2093.3,1
rescor__muscletotalstd__cd41positivecd62negativestd,0.07,"[-0.75, 0.81]",0.551,0.48,0.19,950.6,1
rescor__fattotalstd__cd41positivecd62negativestd,0.17,"[-0.69, 0.84]",0.627,0.555,0.19,1148.2,1.001
rescor__muscletotalstd__cd41positivecd62positivestd,0.08,"[-0.74, 0.9]",0.558,0.485,0.19,928.6,1
rescor__fattotalstd__cd41positivecd62positivestd,-0.17,"[-0.87, 0.69]",0.627,0.553,0.19,1301.1,1
rescor__cd41positivecd62negativestd__cd41positivecd62positivestd,-0.54,"[-0.65, -0.43]",1,1,2282.01,6112,1
.chain,2.5,"[1, 3, 2.85, 4]",1,1,19.07,1.1,2.69
.iteration,1250.5,"[117, 2492]",1,1,667.49,15.7,1
.draw,5000.5,"[17.74, 9517.74]",1,1,2662.19,1.2,2.123
