var,estimate,ci,pd,ps,bf,ess,rhat
b_frailtotal_Intercept,-2.31,"[-2.91, -1.76]",1,1,7271.62,4019.1,1
b_cd41positivecd62negativestd_Intercept,0.02,"[-0.12, 0.14]",0.595,0.095,0.02,5947.4,1
b_cd41positivecd62positivestd_Intercept,-0.02,"[-0.17, 0.13]",0.605,0.157,0.03,6921.8,1
b_frailtotal_time.L,-0.36,"[-1.17, 0.44]",0.811,0.74,0.21,5474,1
b_frailtotal_time.Q,0.69,"[-0.22, 1.65]",0.931,0.895,0.43,2856.8,1
b_frailtotal_sexF,0.25,"[-0.3, 0.81]",0.812,0.706,0.14,8880,1
b_frailtotal_age_std,0.24,"[-0.01, 0.48]",0.975,0.871,0.26,8625.4,1
b_frailtotal_imc_std,0.48,"[0.25, 0.7]",1,0.999,790.14,7991.6,1
b_frailtotal_time.L:sexF,-0.26,"[-1.04, 0.53]",0.743,0.654,0.16,7414.1,1
b_frailtotal_time.Q:sexF,-0.39,"[-1.24, 0.44]",0.831,0.766,0.22,7967.6,1
b_frailtotal_time.L:age_std,-0.2,"[-0.59, 0.17]",0.856,0.698,0.11,10913.8,1
b_frailtotal_time.Q:age_std,0.05,"[-0.29, 0.42]",0.614,0.395,0.06,11490.6,1
b_frailtotal_time.L:imc_std,-0.12,"[-0.45, 0.21]",0.756,0.542,0.07,12033,1
b_frailtotal_time.Q:imc_std,-0.18,"[-0.5, 0.13]",0.868,0.683,0.1,9284.6,1
b_cd41positivecd62negativestd_time.L,-0.96,"[-1.13, -0.79]",1,1,3583.5,11002.7,1
b_cd41positivecd62negativestd_time.Q,-0.48,"[-0.65, -0.3]",1,1,3576.96,9044.6,1.001
b_cd41positivecd62positivestd_time.L,-0.24,"[-0.45, -0.02]",0.987,0.911,0.42,10908.9,1
b_cd41positivecd62positivestd_time.Q,-0.19,"[-0.42, 0.02]",0.955,0.787,0.17,8988,1
bsp_frailtotal_micd41_positive_cd62_negative_std,-0.19,"[-0.65, 0.28]",0.794,0.649,0.11,2246.8,1
bsp_frailtotal_micd41_positive_cd62_positive_std,0.01,"[-0.35, 0.36]",0.519,0.302,0.06,2620,1
bsp_frailtotal_micd41_positive_cd62_negative_std:time.L,0.36,"[-0.33, 1.04]",0.855,0.779,0.2,3852.9,1
bsp_frailtotal_micd41_positive_cd62_negative_std:time.Q,-0.78,"[-1.62, 0.17]",0.943,0.918,0.57,1848.7,1
bsp_frailtotal_micd41_positive_cd62_positive_std:time.L,0.29,"[-0.25, 0.84]",0.848,0.752,0.16,4450.3,1
bsp_frailtotal_micd41_positive_cd62_positive_std:time.Q,-0.36,"[-0.98, 0.32]",0.843,0.77,0.2,2089.4,1
.chain,2.5,"[1, 3, 2.85, 4]",1,1,19.07,1.1,2.69
.iteration,1250.5,"[117, 2492]",1,1,667.49,15.7,1
.draw,5000.5,"[17.74, 9517.74]",1,1,2662.19,1.2,2.123
