var,estimate,ci,pd,ps,bf,ess,rhat
b_dinamometeraveragestd_Intercept,1.1,"[0.88, 1.34]",1,1,3992.23,4485.8,1
b_sftcststd_Intercept,0.29,"[-0.04, 0.63]",0.962,0.877,0.28,4078.1,1
b_sftelbowflexionstd_Intercept,0.3,"[-0.02, 0.63]",0.964,0.889,0.28,4427.4,1
b_sftfutstd_Intercept,-0.41,"[-0.71, -0.07]",0.992,0.971,1.01,4238.1,1
b_cd41positivecd62negativestd_Intercept,-0.01,"[-0.14, 0.1]",0.585,0.088,0.02,4051.5,1
b_cd41positivecd62positivestd_Intercept,0.01,"[-0.15, 0.16]",0.531,0.113,0.03,4752.3,1
b_dinamometeraveragestd_time.L,0.28,"[-0.33, 0.87]",0.838,0.74,0.15,844.9,1.002
b_dinamometeraveragestd_time.Q,0.35,"[-0.06, 0.77]",0.952,0.886,0.31,1109.6,1.002
b_dinamometeraveragestd_sexF,-1.52,"[-1.76, -1.27]",1,1,5239.72,4206.7,1
b_dinamometeraveragestd_age_std,-0.12,"[-0.23, -0.01]",0.985,0.667,0.19,4256.7,1
b_dinamometeraveragestd_imc_std,0.01,"[-0.11, 0.12]",0.58,0.07,0.02,4478.5,1
b_dinamometeraveragestd_time.L:sexF,0.05,"[-0.21, 0.34]",0.644,0.357,0.05,8824,1
b_dinamometeraveragestd_time.Q:sexF,-0.12,"[-0.37, 0.13]",0.832,0.565,0.07,8489.2,1
b_dinamometeraveragestd_time.L:age_std,0.07,"[-0.06, 0.19]",0.84,0.293,0.04,9498.7,1
b_dinamometeraveragestd_time.Q:age_std,0.07,"[-0.05, 0.18]",0.866,0.287,0.04,9060.6,1
b_dinamometeraveragestd_time.L:imc_std,0.01,"[-0.11, 0.14]",0.556,0.078,0.02,10167.1,1
b_dinamometeraveragestd_time.Q:imc_std,0.02,"[-0.1, 0.14]",0.645,0.094,0.02,8528.5,1
b_sftcststd_time.L,1.76,"[0.66, 2.83]",0.998,0.997,13.72,752.7,1
b_sftcststd_time.Q,0.8,"[0.09, 1.53]",0.985,0.976,1.7,932.9,1
b_sftcststd_sexF,-0.28,"[-0.6, 0.02]",0.967,0.888,0.29,4214.9,1
b_sftcststd_age_std,-0.09,"[-0.23, 0.05]",0.89,0.437,0.05,3357.1,1.001
b_sftcststd_imc_std,-0.35,"[-0.49, -0.21]",1,1,2333.72,4366.7,1
b_sftcststd_time.L:sexF,0.06,"[-0.23, 0.38]",0.646,0.395,0.05,8082.7,1
b_sftcststd_time.Q:sexF,0.17,"[-0.09, 0.46]",0.882,0.684,0.09,7950,1.001
b_sftcststd_time.L:age_std,-0.03,"[-0.17, 0.12]",0.639,0.15,0.03,8194.9,1
b_sftcststd_time.Q:age_std,0.03,"[-0.1, 0.16]",0.681,0.145,0.02,8667.9,1
b_sftcststd_time.L:imc_std,-0.14,"[-0.28, 0]",0.976,0.713,0.16,9078,1
b_sftcststd_time.Q:imc_std,-0.1,"[-0.23, 0.03]",0.924,0.484,0.07,8083.4,1
b_sftelbowflexionstd_time.L,2.03,"[1.05, 3.09]",0.999,0.999,45.86,883.3,1.002
b_sftelbowflexionstd_time.Q,0.72,"[0.1, 1.45]",0.983,0.97,1.38,1063.3,1.002
b_sftelbowflexionstd_sexF,-0.3,"[-0.59, 0.03]",0.971,0.901,0.29,4353.6,1
b_sftelbowflexionstd_age_std,-0.11,"[-0.25, 0.03]",0.944,0.582,0.09,3982.6,1
b_sftelbowflexionstd_imc_std,-0.12,"[-0.26, 0.02]",0.944,0.587,0.08,4585.5,1
b_sftelbowflexionstd_time.L:sexF,-0.15,"[-0.48, 0.2]",0.8,0.608,0.08,7195.9,1
b_sftelbowflexionstd_time.Q:sexF,-0.13,"[-0.46, 0.16]",0.797,0.575,0.07,7683.5,1
b_sftelbowflexionstd_time.L:age_std,-0.16,"[-0.33, -0.01]",0.978,0.79,0.21,7532.5,1.002
b_sftelbowflexionstd_time.Q:age_std,-0.01,"[-0.16, 0.14]",0.548,0.115,0.03,8426.6,1
b_sftelbowflexionstd_time.L:imc_std,-0.17,"[-0.33, -0.02]",0.982,0.812,0.25,8893.7,1
b_sftelbowflexionstd_time.Q:imc_std,-0.07,"[-0.22, 0.08]",0.808,0.342,0.04,6769.6,1
b_sftfutstd_time.L,-1.14,"[-2.14, -0.12]",0.982,0.975,2.05,657.8,1.002
b_sftfutstd_time.Q,-0.7,"[-1.36, -0.03]",0.979,0.963,1.1,887.5,1.002
b_sftfutstd_sexF,0.49,"[0.19, 0.8]",0.999,0.993,6.19,4182.8,1
b_sftfutstd_age_std,0.27,"[0.13, 0.41]",1,0.992,27.04,3462.6,1
b_sftfutstd_imc_std,0.38,"[0.24, 0.51]",1,1,2632.58,4914.9,1
b_sftfutstd_time.L:sexF,-0.3,"[-0.57, -0.01]",0.979,0.915,0.36,9299.4,1
b_sftfutstd_time.Q:sexF,-0.01,"[-0.28, 0.25]",0.539,0.252,0.04,8606,1
b_sftfutstd_time.L:age_std,-0.15,"[-0.28, -0.02]",0.988,0.777,0.25,9088.6,1
b_sftfutstd_time.Q:age_std,0.01,"[-0.11, 0.14]",0.55,0.073,0.02,9428.1,1
b_sftfutstd_time.L:imc_std,0.05,"[-0.07, 0.19]",0.795,0.245,0.03,11156.8,1
b_sftfutstd_time.Q:imc_std,0.12,"[0, 0.25]",0.974,0.639,0.13,8398.7,1
b_cd41positivecd62negativestd_time.L,-0.9,"[-1.08, -0.69]",1,1,4132.16,7061,1
b_cd41positivecd62negativestd_time.Q,-0.5,"[-0.69, -0.32]",1,1,3833.06,5817.4,1.001
b_cd41positivecd62positivestd_time.L,-0.28,"[-0.52, -0.03]",0.987,0.924,0.54,7184.1,1
b_cd41positivecd62positivestd_time.Q,-0.12,"[-0.36, 0.12]",0.834,0.556,0.06,5665.4,1.001
bsp_dinamometeraveragestd_micd41_positive_cd62_negative_std,0.37,"[-0.28, 0.89]",0.894,0.825,0.23,521.6,1.004
bsp_dinamometeraveragestd_micd41_positive_cd62_positive_std,0.3,"[-0.24, 0.85]",0.874,0.782,0.18,821.3,1.001
bsp_dinamometeraveragestd_micd41_positive_cd62_negative_std:time.L,0.02,"[-0.24, 0.28]",0.562,0.276,0.04,4272.2,1
bsp_dinamometeraveragestd_micd41_positive_cd62_negative_std:time.Q,0.02,"[-0.27, 0.33]",0.564,0.305,0.05,2202,1
bsp_dinamometeraveragestd_micd41_positive_cd62_positive_std:time.L,0.04,"[-0.16, 0.23]",0.652,0.258,0.03,4954.3,1
bsp_dinamometeraveragestd_micd41_positive_cd62_positive_std:time.Q,-0.04,"[-0.27, 0.17]",0.658,0.305,0.04,2498.4,1
bsp_sftcststd_micd41_positive_cd62_negative_std,1.57,"[0.32, 2.69]",0.989,0.984,3.44,368.9,1.002
bsp_sftcststd_micd41_positive_cd62_positive_std,0.96,"[-0.46, 2.08]",0.916,0.894,0.71,242.7,1.006
bsp_sftcststd_micd41_positive_cd62_negative_std:time.L,0.29,"[0, 0.58]",0.975,0.9,0.35,4420.7,1
bsp_sftcststd_micd41_positive_cd62_negative_std:time.Q,-0.01,"[-0.39, 0.37]",0.518,0.322,0.07,2224.6,1
bsp_sftcststd_micd41_positive_cd62_positive_std:time.L,0.2,"[0, 0.42]",0.973,0.826,0.2,4959.5,1
bsp_sftcststd_micd41_positive_cd62_positive_std:time.Q,0,"[-0.27, 0.27]",0.51,0.249,0.05,2344.2,1
bsp_sftelbowflexionstd_micd41_positive_cd62_negative_std,1.28,"[0.19, 2.31]",0.981,0.975,2.58,478,1.006
bsp_sftelbowflexionstd_micd41_positive_cd62_positive_std,0.81,"[-0.42, 1.86]",0.912,0.887,0.59,305.7,1.005
bsp_sftelbowflexionstd_micd41_positive_cd62_negative_std:time.L,0.26,"[-0.06, 0.59]",0.934,0.824,0.18,4636.8,1
bsp_sftelbowflexionstd_micd41_positive_cd62_negative_std:time.Q,0.14,"[-0.22, 0.51]",0.774,0.584,0.08,3051.6,1
bsp_sftelbowflexionstd_micd41_positive_cd62_positive_std:time.L,0.22,"[-0.01, 0.47]",0.968,0.847,0.23,5299.9,1
bsp_sftelbowflexionstd_micd41_positive_cd62_positive_std:time.Q,-0.03,"[-0.3, 0.24]",0.591,0.319,0.05,3098.1,1
bsp_sftfutstd_micd41_positive_cd62_negative_std,-1.21,"[-2.2, -0.06]",0.973,0.964,1.64,342.3,1.004
bsp_sftfutstd_micd41_positive_cd62_positive_std,-1.08,"[-2.18, 0.09]",0.963,0.949,1.16,293,1.001
bsp_sftfutstd_micd41_positive_cd62_negative_std:time.L,-0.04,"[-0.32, 0.25]",0.615,0.343,0.05,4314,1
bsp_sftfutstd_micd41_positive_cd62_negative_std:time.Q,-0.26,"[-0.62, 0.1]",0.91,0.804,0.17,2128.2,1
bsp_sftfutstd_micd41_positive_cd62_positive_std:time.L,-0.03,"[-0.24, 0.17]",0.617,0.248,0.04,5037.1,1.001
bsp_sftfutstd_micd41_positive_cd62_positive_std:time.Q,-0.17,"[-0.42, 0.11]",0.881,0.684,0.1,2355.8,1
rescor__dinamometeraveragestd__sftcststd,0.57,"[0.15, 0.83]",0.984,0.967,0.94,963.1,1.004
rescor__dinamometeraveragestd__sftelbowflexionstd,0.61,"[0.26, 0.84]",0.995,0.989,3.37,1670.6,1
rescor__sftcststd__sftelbowflexionstd,0.86,"[0.62, 0.96]",1,0.999,414547183.02,1280.7,1.001
rescor__dinamometeraveragestd__sftfutstd,-0.6,"[-0.84, -0.23]",0.994,0.986,2.03,1609.1,1.003
rescor__sftcststd__sftfutstd,-0.82,"[-0.95, -0.55]",0.999,0.999,162.79,1186.1,1.001
rescor__sftelbowflexionstd__sftfutstd,-0.77,"[-0.93, -0.42, -0.43, -0.41]",0.999,0.997,6.74,1114.9,1.001
rescor__dinamometeraveragestd__cd41positivecd62negativestd,-0.32,"[-0.87, 0.35]",0.795,0.717,0.2,410.8,1.005
rescor__sftcststd__cd41positivecd62negativestd,-0.62,"[-0.98, 0.19]",0.897,0.859,0.39,223.6,1.006
rescor__sftelbowflexionstd__cd41positivecd62negativestd,-0.59,"[-0.98, 0.12, 0.12, 0.15]",0.906,0.866,0.36,256.6,1.009
rescor__sftfutstd__cd41positivecd62negativestd,0.43,"[-0.32, 0.97]",0.81,0.748,0.23,204.7,1.005
rescor__dinamometeraveragestd__cd41positivecd62positivestd,-0.36,"[-0.9, 0.38]",0.801,0.735,0.22,485.3,1.003
rescor__sftcststd__cd41positivecd62positivestd,-0.28,"[-0.97, 0.54]",0.697,0.629,0.2,199.1,1.006
rescor__sftelbowflexionstd__cd41positivecd62positivestd,-0.29,"[-0.95, 0.48]",0.732,0.662,0.2,242.5,1.008
rescor__sftfutstd__cd41positivecd62positivestd,0.49,"[-0.37, -0.33, -0.33, 0.99]",0.822,0.772,0.28,207.2,1.004
rescor__cd41positivecd62negativestd__cd41positivecd62positivestd,-0.51,"[-0.61, -0.38]",1,1,1248.48,5012.9,1
.chain,2.5,"[1, 3, 2.85, 4]",1,1,19.07,1.1,2.69
.iteration,1250.5,"[117, 2492]",1,1,667.49,15.7,1
.draw,5000.5,"[17.74, 9517.74]",1,1,2662.19,1.2,2.123
